Indicador;Nível Territorial;Abertura Territorial;Variável de abertura 1;Categoria de abertura 1;Variável de abertura 2;Categoria de abertura 2;Maio;Junho;Situação Maio para Junho;Julho;Situação Junho para Julho;Agosto;Situação Julho para Agosto;Setembro;Situação Agosto para Setembro;Outubro;Situação Setembro para Outubro;Novembro;Situação Outubro para Novembro
CV - Distribuição de pessoas que fizeram o exame de sangue através da veia do braço (%);Unidade da Federação;Maranhão;Resultado do exame de sangue através da veia do braço;Total;-;-;0,0;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-
CV - Distribuição de pessoas que fizeram o exame de sangue através da veia do braço (%);Unidade da Federação;Maranhão;Resultado do exame de sangue através da veia do braço;Resultado positivo;-;-;0,0;0,0;-;5,5;-;5,5;-;5,5;-;5,2;-;5,2;-
CV - Distribuição de pessoas que fizeram o exame de sangue através da veia do braço (%);Unidade da Federação;Maranhão;Resultado do exame de sangue através da veia do braço;Resultado negativo;-;-;0,0;0,0;-;5,8;-;3,9;-;3,8;-;3,7;-;3,5;-
CV - Distribuição de pessoas que fizeram o exame de sangue através da veia do braço (%);Unidade da Federação;Maranhão;Resultado do exame de sangue através da veia do braço;Resultado inconclusivo;-;-;0,0;0,0;-;54,4;-;61,4;-;52,3;-;43,1;-;44,6;-
CV - Distribuição de pessoas que fizeram o exame de sangue através da veia do braço (%);Unidade da Federação;Maranhão;Resultado do exame de sangue através da veia do braço;Ainda não recebeu o resultado;-;-;0,0;0,0;-;29,0;-;35,4;-;42,8;-;50,7;-;30,8;-
Percentual de pessoas que fizeram o exame de sangue através da veia do braço no total da população (%) ;Unidade da Federação;Maranhão;-;-;-;-;0,0;0,0;-;3,1;-;3,9;Aumento;4,6;Aumento;5,1;Aumento;5,3;Estável
CV - Percentual de pessoas que fizeram o exame de sangue através da veia do braço no total da população (%) ;Unidade da Federação;Maranhão;-;-;-;-;0,0;0,0;-;6,5;-;5,8;-;5,3;-;5,2;-;5,3;-
Pessoas com diagnóstico médico de alguma comorbidade (mil pessoas) ;Unidade da Federação;Maranhão;Sexo;Total;-;-; -   ; -   ;-;  1 102 ;-;  1 036 ;Queda;  1 094 ;Aumento;  1 134 ;Aumento;  1 117 ;Estável
Pessoas com diagnóstico médico de alguma comorbidade (mil pessoas) ;Unidade da Federação;Maranhão;Sexo;Homem;-;-; -   ; -   ;-;   462 ;-;   424 ;-;   447 ;-;   472 ;-;   470 ;-
Pessoas com diagnóstico médico de alguma comorbidade (mil pessoas) ;Unidade da Federação;Maranhão;Sexo;Mulher;-;-; -   ; -   ;-;   640 ;-;   612 ;-;   647 ;-;   662 ;-;   647 ;-
Pessoas com diagnóstico médico de alguma comorbidade (mil pessoas) ;Unidade da Federação;Maranhão;Grupos de Idade;Total;-;-; -   ; -   ;-;  1 102 ;-;  1 036 ;-;  1 094 ;-;  1 134 ;-;  1 117 ;-
Pessoas com diagnóstico médico de alguma comorbidade (mil pessoas) ;Unidade da Federação;Maranhão;Grupos de Idade;0 a 9 anos;-;-; -   ; -   ;-;   31 ;-;   26 ;-;   33 ;-;   32 ;-;   33 ;-
Pessoas com diagnóstico médico de alguma comorbidade (mil pessoas) ;Unidade da Federação;Maranhão;Grupos de Idade;10 a 19 anos;-;-; -   ; -   ;-;   66 ;-;   65 ;-;   68 ;-;   69 ;-;   59 ;-
Pessoas com diagnóstico médico de alguma comorbidade (mil pessoas) ;Unidade da Federação;Maranhão;Grupos de Idade;20 a 29 anos;-;-; -   ; -   ;-;   77 ;-;   66 ;-;   73 ;-;   84 ;-;   79 ;-
Pessoas com diagnóstico médico de alguma comorbidade (mil pessoas) ;Unidade da Federação;Maranhão;Grupos de Idade;30 a 59 anos;-;-; -   ; -   ;-;   491 ;-;   446 ;-;   468 ;-;   486 ;-;   483 ;-
Pessoas com diagnóstico médico de alguma comorbidade (mil pessoas) ;Unidade da Federação;Maranhão;Grupos de Idade;60 anos ou mais;-;-; -   ; -   ;-;   437 ;-;   433 ;-;   453 ;-;   464 ;-;   463 ;-
Pessoas com diagnóstico médico de alguma comorbidade (mil pessoas) ;Unidade da Federação;Maranhão;Grupos de Idade 2;Total ;-;-; -   ; -   ;-;  1 102 ;-;  1 036 ;-;  1 094 ;-;  1 134 ;-;  1 117 ;-
Pessoas com diagnóstico médico de alguma comorbidade (mil pessoas) ;Unidade da Federação;Maranhão;Grupos de Idade 2;0 a 59 anos ;-;-; -   ; -   ;-;   665 ;-;   603 ;-;   642 ;-;   671 ;-;   654 ;-
Pessoas com diagnóstico médico de alguma comorbidade (mil pessoas) ;Unidade da Federação;Maranhão;Grupos de Idade 2;60 anos ou mais ;-;-; -   ; -   ;-;   437 ;-;   433 ;-;   453 ;-;   464 ;-;   463 ;-
Pessoas com diagnóstico médico de alguma comorbidade (mil pessoas) ;Unidade da Federação;Maranhão;Cor ou Raça;Total4;-;-; -   ; -   ;-;  1 102 ;-;  1 036 ;-;  1 094 ;-;  1 134 ;-;  1 117 ;-
Pessoas com diagnóstico médico de alguma comorbidade (mil pessoas) ;Unidade da Federação;Maranhão;Cor ou Raça;Branca;-;-; -   ; -   ;-;   204 ;-;   196 ;-;   204 ;-;   217 ;-;   223 ;-
Pessoas com diagnóstico médico de alguma comorbidade (mil pessoas) ;Unidade da Federação;Maranhão;Cor ou Raça;Preta ou parda;-;-; -   ; -   ;-;   885 ;-;   829 ;-;   879 ;-;   904 ;-;   882 ;-
Pessoas com diagnóstico médico de alguma comorbidade (mil pessoas) ;Unidade da Federação;Maranhão;Nível de instrução;Total;-;-; -   ; -   ;-;  1 102 ;-;  1 036 ;-;  1 094 ;-;  1 134 ;-;  1 117 ;-
Pessoas com diagnóstico médico de alguma comorbidade (mil pessoas) ;Unidade da Federação;Maranhão;Nível de instrução;Sem instrução ao fundamental incompleto;-;-; -   ; -   ;-;   604 ;-;   592 ;-;   629 ;-;   644 ;-;   632 ;-
Pessoas com diagnóstico médico de alguma comorbidade (mil pessoas) ;Unidade da Federação;Maranhão;Nível de instrução;Fundamental completo ao médio incompleto;-;-; -   ; -   ;-;   142 ;-;   125 ;-;   128 ;-;   140 ;-;   131 ;-
Pessoas com diagnóstico médico de alguma comorbidade (mil pessoas) ;Unidade da Federação;Maranhão;Nível de instrução;Médio completo ao superior incompleto;-;-; -   ; -   ;-;   261 ;-;   228 ;-;   244 ;-;   250 ;-;   254 ;-
Pessoas com diagnóstico médico de alguma comorbidade (mil pessoas) ;Unidade da Federação;Maranhão;Nível de instrução;Superior completo ou pós-graduação;-;-; -   ; -   ;-;   96 ;-;   91 ;-;   94 ;-;   100 ;-;   101 ;-
CV - Pessoas com diagnóstico médico de alguma comorbidade (%) ;Unidade da Federação;Maranhão;Sexo;Total;-;-;0,0;0,0;-;1,9;-;1,9;-;1,9;-;1,8;-;1,7;-
CV - Pessoas com diagnóstico médico de alguma comorbidade (%) ;Unidade da Federação;Maranhão;Sexo;Homem;-;-;0,0;0,0;-;2,9;-;3,0;-;3,0;-;2,8;-;2,6;-
CV - Pessoas com diagnóstico médico de alguma comorbidade (%) ;Unidade da Federação;Maranhão;Sexo;Mulher;-;-;0,0;0,0;-;2,1;-;2,2;-;2,0;-;2,0;-;2,0;-
CV - Pessoas com diagnóstico médico de alguma comorbidade (%) ;Unidade da Federação;Maranhão;Grupos de Idade;Total;-;-;0,0;0,0;-;1,9;-;1,9;-;1,9;-;1,8;-;1,7;-
CV - Pessoas com diagnóstico médico de alguma comorbidade (%) ;Unidade da Federação;Maranhão;Grupos de Idade;0 a 9 anos;-;-;0,0;0,0;-;13,0;-;14,7;-;15,9;-;14,9;-;14,9;-
CV - Pessoas com diagnóstico médico de alguma comorbidade (%) ;Unidade da Federação;Maranhão;Grupos de Idade;10 a 19 anos;-;-;0,0;0,0;-;10,0;-;10,0;-;9,9;-;8,7;-;8,8;-
CV - Pessoas com diagnóstico médico de alguma comorbidade (%) ;Unidade da Federação;Maranhão;Grupos de Idade;20 a 29 anos;-;-;0,0;0,0;-;8,4;-;9,2;-;8,9;-;8,2;-;8,4;-
CV - Pessoas com diagnóstico médico de alguma comorbidade (%) ;Unidade da Federação;Maranhão;Grupos de Idade;30 a 59 anos;-;-;0,0;0,0;-;2,6;-;2,7;-;2,6;-;2,5;-;2,5;-
CV - Pessoas com diagnóstico médico de alguma comorbidade (%) ;Unidade da Federação;Maranhão;Grupos de Idade;60 anos ou mais;-;-;0,0;0,0;-;1,8;-;1,9;-;1,8;-;1,7;-;1,7;-
CV - Pessoas com diagnóstico médico de alguma comorbidade (%) ;Unidade da Federação;Maranhão;Grupos de Idade 2;Total ;-;-;0,0;0,0;-;1,9;-;1,9;-;1,9;-;1,8;-;1,7;-
CV - Pessoas com diagnóstico médico de alguma comorbidade (%) ;Unidade da Federação;Maranhão;Grupos de Idade 2;0 a 59 anos ;-;-;0,0;0,0;-;2,9;-;3,0;-;2,9;-;2,7;-;2,6;-
CV - Pessoas com diagnóstico médico de alguma comorbidade (%) ;Unidade da Federação;Maranhão;Grupos de Idade 2;60 anos ou mais ;-;-;0,0;0,0;-;1,8;-;1,9;-;1,8;-;1,7;-;1,7;-
CV - Pessoas com diagnóstico médico de alguma comorbidade (%) ;Unidade da Federação;Maranhão;Cor ou Raça;Total4;-;-;0,0;0,0;-;1,9;-;1,9;-;1,9;-;1,8;-;1,7;-
CV - Pessoas com diagnóstico médico de alguma comorbidade (%) ;Unidade da Federação;Maranhão;Cor ou Raça;Branca;-;-;0,0;0,0;-;4,7;-;4,9;-;4,7;-;4,7;-;4,6;-
CV - Pessoas com diagnóstico médico de alguma comorbidade (%) ;Unidade da Federação;Maranhão;Cor ou Raça;Preta ou parda;-;-;0,0;0,0;-;2,2;-;2,3;-;2,3;-;2,1;-;2,0;-
CV - Pessoas com diagnóstico médico de alguma comorbidade (%) ;Unidade da Federação;Maranhão;Nível de instrução;Total;-;-;0,0;0,0;-;1,9;-;1,9;-;1,9;-;1,8;-;1,7;-
CV - Pessoas com diagnóstico médico de alguma comorbidade (%) ;Unidade da Federação;Maranhão;Nível de instrução;Sem instrução ao fundamental incompleto;-;-;0,0;0,0;-;2,7;-;2,7;-;2,5;-;2,5;-;2,5;-
CV - Pessoas com diagnóstico médico de alguma comorbidade (%) ;Unidade da Federação;Maranhão;Nível de instrução;Fundamental completo ao médio incompleto;-;-;0,0;0,0;-;5,7;-;6,3;-;6,1;-;6,2;-;5,9;-
CV - Pessoas com diagnóstico médico de alguma comorbidade (%) ;Unidade da Federação;Maranhão;Nível de instrução;Médio completo ao superior incompleto;-;-;0,0;0,0;-;4,5;-;4,5;-;4,5;-;4,6;-;4,6;-
CV - Pessoas com diagnóstico médico de alguma comorbidade (%) ;Unidade da Federação;Maranhão;Nível de instrução;Superior completo ou pós-graduação;-;-;0,0;0,0;-;7,7;-;7,8;-;7,6;-;7,2;-;7,3;-
Percentual de pessoas com diagnóstico médico de alguma comorbidade no total da população (%) ;Unidade da Federação;Maranhão;Sexo;Total;-;-;0,0;0,0;-;15,6;-;14,6;Queda;15,4;Aumento;16,0;Aumento;15,7;Estável
Percentual de pessoas com diagnóstico médico de alguma comorbidade no total da população (%) ;Unidade da Federação;Maranhão;Sexo;Homem;-;-;0,0;0,0;-;13,3;-;12,2;-;12,8;-;13,5;-;13,5;-
Percentual de pessoas com diagnóstico médico de alguma comorbidade no total da população (%) ;Unidade da Federação;Maranhão;Sexo;Mulher;-;-;0,0;0,0;-;17,8;-;17,0;-;18,0;-;18,4;-;17,9;-
Percentual de pessoas com diagnóstico médico de alguma comorbidade no total da população (%) ;Unidade da Federação;Maranhão;Grupos de Idade;Total;-;-;0,0;0,0;-;15,6;-;14,6;-;15,4;-;16,0;-;15,7;-
Percentual de pessoas com diagnóstico médico de alguma comorbidade no total da população (%) ;Unidade da Federação;Maranhão;Grupos de Idade;0 a 9 anos;-;-;0,0;0,0;-;2,6;-;2,3;-;2,8;-;2,7;-;2,9;-
Percentual de pessoas com diagnóstico médico de alguma comorbidade no total da população (%) ;Unidade da Federação;Maranhão;Grupos de Idade;10 a 19 anos;-;-;0,0;0,0;-;5,0;-;5,0;-;5,2;-;5,3;-;4,5;-
Percentual de pessoas com diagnóstico médico de alguma comorbidade no total da população (%) ;Unidade da Federação;Maranhão;Grupos de Idade;20 a 29 anos;-;-;0,0;0,0;-;6,1;-;5,2;-;5,7;-;6,6;-;6,3;-
Percentual de pessoas com diagnóstico médico de alguma comorbidade no total da população (%) ;Unidade da Federação;Maranhão;Grupos de Idade;30 a 59 anos;-;-;0,0;0,0;-;19,0;-;17,2;-;18,0;-;18,7;-;18,5;-
Percentual de pessoas com diagnóstico médico de alguma comorbidade no total da população (%) ;Unidade da Federação;Maranhão;Grupos de Idade;60 anos ou mais;-;-;0,0;0,0;-;59,1;-;58,5;-;61,0;-;62,3;-;62,0;-
Percentual de pessoas com diagnóstico médico de alguma comorbidade no total da população (%) ;Unidade da Federação;Maranhão;Grupos de Idade 2;Total ;-;-;0,0;0,0;-;15,6;-;14,6;-;15,4;-;16,0;-;15,7;-
Percentual de pessoas com diagnóstico médico de alguma comorbidade no total da população (%) ;Unidade da Federação;Maranhão;Grupos de Idade 2;0 a 59 anos ;-;-;0,0;0,0;-;10,5;-;9,5;-;10,1;-;10,6;-;10,3;-
Percentual de pessoas com diagnóstico médico de alguma comorbidade no total da população (%) ;Unidade da Federação;Maranhão;Grupos de Idade 2;60 anos ou mais ;-;-;0,0;0,0;-;59,1;-;58,5;-;61,0;-;62,3;-;62,0;-
Percentual de pessoas com diagnóstico médico de alguma comorbidade no total da população (%) ;Unidade da Federação;Maranhão;Cor ou Raça;Total4;-;-;0,0;0,0;-;15,6;-;14,6;-;15,4;-;16,0;-;15,7;-
Percentual de pessoas com diagnóstico médico de alguma comorbidade no total da população (%) ;Unidade da Federação;Maranhão;Cor ou Raça;Branca;-;-;0,0;0,0;-;15,6;-;14,9;-;15,4;-;16,3;-;16,6;-
Percentual de pessoas com diagnóstico médico de alguma comorbidade no total da população (%) ;Unidade da Federação;Maranhão;Cor ou Raça;Preta ou parda;-;-;0,0;0,0;-;15,6;-;14,6;-;15,4;-;15,9;-;15,5;-
Percentual de pessoas com diagnóstico médico de alguma comorbidade no total da população (%) ;Unidade da Federação;Maranhão;Nível de instrução;Total;-;-;0,0;0,0;-;15,6;-;14,6;-;15,4;-;16,0;-;15,7;-
Percentual de pessoas com diagnóstico médico de alguma comorbidade no total da população (%) ;Unidade da Federação;Maranhão;Nível de instrução;Sem instrução ao fundamental incompleto;-;-;0,0;0,0;-;16,7;-;16,3;-;17,2;-;17,6;-;17,4;-
Percentual de pessoas com diagnóstico médico de alguma comorbidade no total da população (%) ;Unidade da Federação;Maranhão;Nível de instrução;Fundamental completo ao médio incompleto;-;-;0,0;0,0;-;13,1;-;11,5;-;11,9;-;13,2;-;12,1;-
Percentual de pessoas com diagnóstico médico de alguma comorbidade no total da população (%) ;Unidade da Federação;Maranhão;Nível de instrução;Médio completo ao superior incompleto;-;-;0,0;0,0;-;13,4;-;11,9;-;12,6;-;12,9;-;13,0;-
Percentual de pessoas com diagnóstico médico de alguma comorbidade no total da população (%) ;Unidade da Federação;Maranhão;Nível de instrução;Superior completo ou pós-graduação;-;-;0,0;0,0;-;21,5;-;20,6;-;21,6;-;23,0;-;22,8;-
CV - Percentual de pessoas com diagnóstico médico de alguma comorbidade no total da população (%) ;Unidade da Federação;Maranhão;Sexo;Total;-;-;0,0;0,0;-;1,9;-;1,9;-;1,9;-;1,8;-;1,7;-
CV - Percentual de pessoas com diagnóstico médico de alguma comorbidade no total da população (%) ;Unidade da Federação;Maranhão;Sexo;Homem;-;-;0,0;0,0;-;2,9;-;3,0;-;3,0;-;2,8;-;2,6;-
CV - Percentual de pessoas com diagnóstico médico de alguma comorbidade no total da população (%) ;Unidade da Federação;Maranhão;Sexo;Mulher;-;-;0,0;0,0;-;2,1;-;2,2;-;2,0;-;2,0;-;2,0;-
CV - Percentual de pessoas com diagnóstico médico de alguma comorbidade no total da população (%) ;Unidade da Federação;Maranhão;Grupos de Idade;Total;-;-;0,0;0,0;-;1,9;-;1,9;-;1,9;-;1,8;-;1,7;-
CV - Percentual de pessoas com diagnóstico médico de alguma comorbidade no total da população (%) ;Unidade da Federação;Maranhão;Grupos de Idade;0 a 9 anos;-;-;0,0;0,0;-;13,0;-;14,7;-;15,9;-;14,9;-;14,9;-
CV - Percentual de pessoas com diagnóstico médico de alguma comorbidade no total da população (%) ;Unidade da Federação;Maranhão;Grupos de Idade;10 a 19 anos;-;-;0,0;0,0;-;10,0;-;10,0;-;9,9;-;8,7;-;8,8;-
CV - Percentual de pessoas com diagnóstico médico de alguma comorbidade no total da população (%) ;Unidade da Federação;Maranhão;Grupos de Idade;20 a 29 anos;-;-;0,0;0,0;-;8,4;-;9,2;-;8,9;-;8,2;-;8,4;-
CV - Percentual de pessoas com diagnóstico médico de alguma comorbidade no total da população (%) ;Unidade da Federação;Maranhão;Grupos de Idade;30 a 59 anos;-;-;0,0;0,0;-;2,6;-;2,7;-;2,6;-;2,5;-;2,5;-
CV - Percentual de pessoas com diagnóstico médico de alguma comorbidade no total da população (%) ;Unidade da Federação;Maranhão;Grupos de Idade;60 anos ou mais;-;-;0,0;0,0;-;1,8;-;1,9;-;1,8;-;1,7;-;1,7;-
CV - Percentual de pessoas com diagnóstico médico de alguma comorbidade no total da população (%) ;Unidade da Federação;Maranhão;Grupos de Idade 2;Total ;-;-;0,0;0,0;-;1,9;-;1,9;-;1,9;-;1,8;-;1,7;-
CV - Percentual de pessoas com diagnóstico médico de alguma comorbidade no total da população (%) ;Unidade da Federação;Maranhão;Grupos de Idade 2;0 a 59 anos ;-;-;0,0;0,0;-;2,9;-;3,0;-;2,9;-;2,7;-;2,6;-
CV - Percentual de pessoas com diagnóstico médico de alguma comorbidade no total da população (%) ;Unidade da Federação;Maranhão;Grupos de Idade 2;60 anos ou mais ;-;-;0,0;0,0;-;1,8;-;1,9;-;1,8;-;1,7;-;1,7;-
CV - Percentual de pessoas com diagnóstico médico de alguma comorbidade no total da população (%) ;Unidade da Federação;Maranhão;Cor ou Raça;Total4;-;-;0,0;0,0;-;1,9;-;1,9;-;1,9;-;1,8;-;1,7;-
CV - Percentual de pessoas com diagnóstico médico de alguma comorbidade no total da população (%) ;Unidade da Federação;Maranhão;Cor ou Raça;Branca;-;-;0,0;0,0;-;4,0;-;4,2;-;4,0;-;4,1;-;4,0;-
CV - Percentual de pessoas com diagnóstico médico de alguma comorbidade no total da população (%) ;Unidade da Federação;Maranhão;Cor ou Raça;Preta ou parda;-;-;0,0;0,0;-;2,2;-;2,2;-;2,2;-;2,0;-;1,9;-
CV - Percentual de pessoas com diagnóstico médico de alguma comorbidade no total da população (%) ;Unidade da Federação;Maranhão;Nível de instrução;Total;-;-;0,0;0,0;-;1,9;-;1,9;-;1,9;-;1,8;-;1,7;-
CV - Percentual de pessoas com diagnóstico médico de alguma comorbidade no total da população (%) ;Unidade da Federação;Maranhão;Nível de instrução;Sem instrução ao fundamental incompleto;-;-;0,0;0,0;-;2,5;-;2,4;-;2,3;-;2,3;-;2,2;-
CV - Percentual de pessoas com diagnóstico médico de alguma comorbidade no total da população (%) ;Unidade da Federação;Maranhão;Nível de instrução;Fundamental completo ao médio incompleto;-;-;0,0;0,0;-;5,4;-;6,0;-;5,8;-;5,8;-;5,5;-
CV - Percentual de pessoas com diagnóstico médico de alguma comorbidade no total da população (%) ;Unidade da Federação;Maranhão;Nível de instrução;Médio completo ao superior incompleto;-;-;0,0;0,0;-;4,2;-;4,2;-;4,3;-;4,3;-;4,4;-
CV - Percentual de pessoas com diagnóstico médico de alguma comorbidade no total da população (%) ;Unidade da Federação;Maranhão;Nível de instrução;Superior completo ou pós-graduação;-;-;0,0;0,0;-;5,8;-;6,5;-;6,3;-;5,9;-;5,8;-
Pessoas com alguma comorbidade e que testaram positivo em algum dos testes (mil pessoas);Unidade da Federação;Maranhão;Sexo;Total;-;-; -   ; -   ;-;   47 ;-;   47 ;Estável;   59 ;Aumento;   66 ;Aumento;   69 ;Estável
Pessoas com alguma comorbidade e que testaram positivo em algum dos testes (mil pessoas);Unidade da Federação;Maranhão;Sexo;Homem;-;-; -   ; -   ;-;   19 ;-;   17 ;-;   22 ;-;   23 ;-;   24 ;-
Pessoas com alguma comorbidade e que testaram positivo em algum dos testes (mil pessoas);Unidade da Federação;Maranhão;Sexo;Mulher;-;-; -   ; -   ;-;   28 ;-;   30 ;-;   37 ;-;   43 ;-;   46 ;-
Pessoas com alguma comorbidade e que testaram positivo em algum dos testes (mil pessoas);Unidade da Federação;Maranhão;Grupos de Idade 2;Total ;-;-; -   ; -   ;-;   47 ;-;   47 ;-;   59 ;-;   66 ;-;   69 ;-
Pessoas com alguma comorbidade e que testaram positivo em algum dos testes (mil pessoas);Unidade da Federação;Maranhão;Grupos de Idade 2;0 a 59 anos ;-;-; -   ; -   ;-;   31 ;-;   29 ;-;   36 ;-;   41 ;-;   42 ;-
Pessoas com alguma comorbidade e que testaram positivo em algum dos testes (mil pessoas);Unidade da Federação;Maranhão;Grupos de Idade 2;60 anos ou mais ;-;-; -   ; -   ;-;   16 ;-;   18 ;-;   23 ;-;   25 ;-;   27 ;-
Pessoas com alguma comorbidade e que testaram positivo em algum dos testes (mil pessoas);Unidade da Federação;Maranhão;Cor ou Raça;Total4;-;-; -   ; -   ;-;   47 ;-;   47 ;-;   59 ;-;   66 ;-;   69 ;-
Pessoas com alguma comorbidade e que testaram positivo em algum dos testes (mil pessoas);Unidade da Federação;Maranhão;Cor ou Raça;Branca;-;-; -   ; -   ;-;   11 ;-;   8 ;-;   11 ;-;   15 ;-;   14 ;-
Pessoas com alguma comorbidade e que testaram positivo em algum dos testes (mil pessoas);Unidade da Federação;Maranhão;Cor ou Raça;Preta ou parda;-;-; -   ; -   ;-;   35 ;-;   39 ;-;   47 ;-;   52 ;-;   54 ;-
Pessoas com alguma comorbidade e que testaram positivo em algum dos testes (mil pessoas);Unidade da Federação;Maranhão;Nível de instrução;Total;-;-; -   ; -   ;-;   47 ;-;   47 ;-;   59 ;-;   66 ;-;   69 ;-
Pessoas com alguma comorbidade e que testaram positivo em algum dos testes (mil pessoas);Unidade da Federação;Maranhão;Nível de instrução;Sem instrução ao fundamental incompleto;-;-; -   ; -   ;-;   18 ;-;   22 ;-;   28 ;-;   29 ;-;   30 ;-
Pessoas com alguma comorbidade e que testaram positivo em algum dos testes (mil pessoas);Unidade da Federação;Maranhão;Nível de instrução;Fundamental completo ao médio incompleto;-;-; -   ; -   ;-;   6 ;-;   5 ;-;   4 ;-;   6 ;-;   4 ;-
Pessoas com alguma comorbidade e que testaram positivo em algum dos testes (mil pessoas);Unidade da Federação;Maranhão;Nível de instrução;Médio completo ao superior incompleto;-;-; -   ; -   ;-;   14 ;-;   11 ;-;   16 ;-;   19 ;-;   21 ;-
Pessoas com alguma comorbidade e que testaram positivo em algum dos testes (mil pessoas);Unidade da Federação;Maranhão;Nível de instrução;Superior completo ou pós-graduação;-;-; -   ; -   ;-;   9 ;-;   10 ;-;   11 ;-;   12 ;-;   13 ;-
CV - Pessoas com alguma comorbidade e que testaram positivo em algum dos testes (%);Unidade da Federação;Maranhão;Sexo;Total;-;-;0,0;0,0;-;9,7;-;9,5;-;8,4;-;8,0;-;7,8;-
CV - Pessoas com alguma comorbidade e que testaram positivo em algum dos testes (%);Unidade da Federação;Maranhão;Sexo;Homem;-;-;0,0;0,0;-;13,9;-;13,8;-;13,6;-;11,8;-;11,6;-
CV - Pessoas com alguma comorbidade e que testaram positivo em algum dos testes (%);Unidade da Federação;Maranhão;Sexo;Mulher;-;-;0,0;0,0;-;11,5;-;11,3;-;10,0;-;9,5;-;9,2;-
CV - Pessoas com alguma comorbidade e que testaram positivo em algum dos testes (%);Unidade da Federação;Maranhão;Grupos de Idade 2;Total ;-;-;0,0;0,0;-;9,7;-;9,5;-;8,4;-;8,0;-;7,8;-
CV - Pessoas com alguma comorbidade e que testaram positivo em algum dos testes (%);Unidade da Federação;Maranhão;Grupos de Idade 2;0 a 59 anos ;-;-;0,0;0,0;-;11,8;-;12,4;-;11,0;-;10,6;-;10,1;-
CV - Pessoas com alguma comorbidade e que testaram positivo em algum dos testes (%);Unidade da Federação;Maranhão;Grupos de Idade 2;60 anos ou mais ;-;-;0,0;0,0;-;15,4;-;14,2;-;12,5;-;11,8;-;11,7;-
CV - Pessoas com alguma comorbidade e que testaram positivo em algum dos testes (%);Unidade da Federação;Maranhão;Cor ou Raça;Total4;-;-;0,0;0,0;-;9,7;-;9,5;-;8,4;-;8,0;-;7,8;-
CV - Pessoas com alguma comorbidade e que testaram positivo em algum dos testes (%);Unidade da Federação;Maranhão;Cor ou Raça;Branca;-;-;0,0;0,0;-;17,4;-;21,0;-;17,3;-;15,5;-;15,9;-
CV - Pessoas com alguma comorbidade e que testaram positivo em algum dos testes (%);Unidade da Federação;Maranhão;Cor ou Raça;Preta ou parda;-;-;0,0;0,0;-;11,3;-;10,5;-;9,5;-;9,1;-;8,8;-
CV - Pessoas com alguma comorbidade e que testaram positivo em algum dos testes (%);Unidade da Federação;Maranhão;Nível de instrução;Total;-;-;0,0;0,0;-;9,7;-;9,5;-;8,4;-;8,0;-;7,8;-
CV - Pessoas com alguma comorbidade e que testaram positivo em algum dos testes (%);Unidade da Federação;Maranhão;Nível de instrução;Sem instrução ao fundamental incompleto;-;-;0,0;0,0;-;15,0;-;13,0;-;11,7;-;11,3;-;11,1;-
CV - Pessoas com alguma comorbidade e que testaram positivo em algum dos testes (%);Unidade da Federação;Maranhão;Nível de instrução;Fundamental completo ao médio incompleto;-;-;0,0;0,0;-;24,7;-;30,1;-;26,3;-;25,6;-;24,8;-
CV - Pessoas com alguma comorbidade e que testaram positivo em algum dos testes (%);Unidade da Federação;Maranhão;Nível de instrução;Médio completo ao superior incompleto;-;-;0,0;0,0;-;17,0;-;18,1;-;16,2;-;15,7;-;14,8;-
CV - Pessoas com alguma comorbidade e que testaram positivo em algum dos testes (%);Unidade da Federação;Maranhão;Nível de instrução;Superior completo ou pós-graduação;-;-;0,0;0,0;-;21,1;-;19,7;-;17,6;-;17,1;-;16,5;-
Percentual de pessoas com alguma comorbidade e que testaram positivo em algum dos testes no total de pessoas com alguma comorbidade (%) ;Unidade da Federação;Maranhão;Sexo;Total;-;-;0,0;0,0;-;4,3;-;4,5;Estável;5,3;Aumento;5,8;Estável;6,2;Estável
Percentual de pessoas com alguma comorbidade e que testaram positivo em algum dos testes no total de pessoas com alguma comorbidade (%) ;Unidade da Federação;Maranhão;Sexo;Homem;-;-;0,0;0,0;-;4,1;-;3,9;-;4,8;-;5,0;-;5,0;-
Percentual de pessoas com alguma comorbidade e que testaram positivo em algum dos testes no total de pessoas com alguma comorbidade (%) ;Unidade da Federação;Maranhão;Sexo;Mulher;-;-;0,0;0,0;-;4,4;-;4,9;-;5,7;-;6,5;-;7,0;-
Percentual de pessoas com alguma comorbidade e que testaram positivo em algum dos testes no total de pessoas com alguma comorbidade (%) ;Unidade da Federação;Maranhão;Grupos de Idade 2;Total ;-;-;0,0;0,0;-;4,3;-;4,5;-;5,3;-;5,8;-;6,2;-
Percentual de pessoas com alguma comorbidade e que testaram positivo em algum dos testes no total de pessoas com alguma comorbidade (%) ;Unidade da Federação;Maranhão;Grupos de Idade 2;0 a 59 anos ;-;-;0,0;0,0;-;4,6;-;4,8;-;5,6;-;6,1;-;6,5;-
Percentual de pessoas com alguma comorbidade e que testaram positivo em algum dos testes no total de pessoas com alguma comorbidade (%) ;Unidade da Federação;Maranhão;Grupos de Idade 2;60 anos ou mais ;-;-;0,0;0,0;-;3,7;-;4,2;-;5,0;-;5,5;-;5,8;-
